FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
28.7141,29.257519,-5.64032,53.251572,81.108917,464.529297
28.815765,29.543634,-5.483627,52.955372,81.274582,464.7854
28.874094,29.828062,-5.307098,52.612923,81.407852,465.08548
28.890919,30.110582,-5.11209,52.227589,81.514557,465.423279
28.867971,30.390993,-4.899905,51.80262,81.600212,465.792999
28.806898,30.669121,-4.671795,51.341129,81.670067,466.188965
28.709295,30.944817,-4.428975,50.846107,81.729004,466.605927
28.576723,31.217966,-4.172625,50.320404,81.781662,467.038727
28.410734,31.48847,-3.903908,49.766777,81.83242,467.482605
28.212851,31.756248,-3.623961,49.187847,81.885391,467.932922
27.984577,32.021214,-3.333904,48.586124,81.944557,468.385345
27.727369,32.283249,-3.034828,47.963982,82.013634,468.835632
27.442646,32.542271,-2.72779,47.323681,82.096222,469.279755
27.13179,32.798164,-2.413801,46.667408,82.195656,469.71402
26.796175,33.050861,-2.093839,45.997208,82.315079,470.134857
26.437178,33.300297,-1.768848,45.315041,82.45739,470.539032
26.05619,33.546432,-1.439746,44.622757,82.62529,470.923431
25.654606,33.789246,-1.107434,43.922119,82.821335,471.285126
25.233803,34.02874,-0.772788,43.214775,83.047928,471.621429
24.795118,34.264908,-0.436668,42.502304,83.307327,471.92984
24.339838,34.497707,-0.099918,41.786152,83.601669,472.207825
23.869184,34.727104,0.236632,41.067726,83.932945,472.453156
23.38434,34.95303,0.572169,40.348309,84.302971,472.663818
22.886456,35.175434,0.905899,39.629143,84.713379,472.837769
22.376661,35.394283,1.237051,38.911354,85.165665,472.973297
21.856056,35.609585,1.564878,38.195992,85.661163,473.068848
21.325712,35.821373,1.88866,37.484062,86.201096,473.122894
20.786636,36.029709,2.207706,36.776455,86.786522,473.134125
20.239758,36.234642,2.521359,36.074009,87.418419,473.101288
19.685909,36.436184,2.829,35.377472,88.097649,473.023285
19.125839,36.634331,3.130049,34.68755,88.824966,472.899078
18.560211,36.829041,3.423968,34.004894,89.60099,472.727783
17.989643,37.020271,3.710251,33.330105,90.426193,472.508606
17.414722,37.208012,3.988417,32.663734,91.300926,472.240814
16.836016,37.392258,4.258011,32.006283,92.225418,471.923889
16.254059,37.573067,4.518589,31.358206,93.19976,471.557404
15.66935,37.750515,4.769726,30.719908,94.224022,471.14093
15.08231,37.924675,5.011014,30.091736,95.298164,470.674072
14.493286,38.095592,5.242066,29.473972,96.422104,470.156616
13.902548,38.263275,5.462524,28.866846,97.595718,469.588287
13.310308,38.427677,5.672057,28.270569,98.818733,468.968933
12.716749,38.588768,5.87036,27.685322,100.090813,468.298462
12.122058,38.746502,6.057149,27.111258,101.411507,467.576874
