Time(ms),Acceleration(x),Acceleration(y),Acceleration(z),Magnetometer(x),Magnetometer(y),Magnetometer(z),Gyroscope(x),Gyroscope(y),Gyroscope(z),Class
706,0.15,8.37,-5.28,28.92,-22.11,-86.14,0.01,0.02,-0.05,1
1130,1.53,9.26,-3.11,30.93,-21.56,-90.92,-0.26,0.12,-0.26,1
1501,0.38,9.2,0.24,30.97,-24.79,-108.02,1.5,1.74,-0.0,1
1939,-3.84,9.94,-2.33,27.97,-23.08,-98.9,-1.17,0.09,-0.23,1
2187,-0.71,9.01,-2.94,29.79,-21.98,-83.21,-2.45,0.09,-0.39,1
2433,-9.52,9.69,-9.86,33.88,-24.19,-91.74,0.11,-2.87,1.42,1
2680,2.39,1.82,-5.26,26.22,-24.55,-104.66,-0.55,-0.39,-0.07,1
2934,2.16,9.02,-15.79,27.48,-27.21,-103.52,-2.23,-1.93,-0.09,1
3182,-2.59,9.55,-3.14,27.08,-23.75,-84.04,-2.75,-0.37,-0.16,1
3428,0.03,16.01,9.13,33.75,-25.43,-83.22,2.98,-0.37,-0.8,1
3858,2.56,9.83,5.56,28.47,-24.28,-108.26,0.59,-2.34,-0.67,1
4177,-1.1,8.23,-1.4,26.26,-26.67,-92.66,-3.35,-1.03,-0.37,1
4423,-4.01,18.69,0.04,30.78,-22.98,-81.26,1.2,0.02,0.06,1
4669,-0.36,5.38,-7.97,26.83,-26.7,-106.28,1.78,0.59,0.69,1
4917,0.3,5.31,-2.8,25.91,-24.39,-110.29,-0.48,-0.82,0.56,1
5171,0.05,8.7,-2.14,27.54,-26.85,-97.3,-2.94,-0.95,-0.19,1
5416,-3.52,14.01,1.58,32.87,-23.24,-82.94,1.52,-0.98,-0.44,1
5664,1.15,5.07,-7.59,27.08,-26.92,-104.36,1.76,1.22,0.41,1
5910,-3.26,8.94,-0.85,25.23,-24.04,-110.35,0.14,-0.37,0.41,1
6158,0.94,8.21,-1.46,26.63,-25.55,-97.85,-2.34,-0.66,-0.65,1
6404,-1.39,12.37,-1.89,31.19,-21.48,-79.76,-0.74,-1.02,-0.07,1
6651,0.04,10.03,-7.02,28.52,-26.98,-101.55,2.96,0.76,1.16,1
6905,0.36,7.0,16.9,24.35,-23.53,-108.18,2.47,-0.28,0.0,1
7153,-5.17,9.56,-4.66,23.93,-25.4,-104.31,-1.94,0.02,-0.5,1
7399,-2.48,11.22,-1.29,30.44,-23.27,-82.48,-1.58,-0.64,-0.13,1
7647,3.61,13.88,-6.69,30.01,-27.13,-99.84,3.83,1.32,0.85,1
7892,-3.69,17.64,7.27,30.2,-22.9,-109.91,2.88,2.17,0.87,1
8140,-6.76,8.71,-2.37,30.72,-25.56,-107.42,-1.4,0.15,0.11,1
8386,-0.19,9.32,-3.39,36.61,-26.02,-87.09,-1.55,-0.03,-0.4,1
8632,-2.48,15.96,-11.99,34.64,-23.74,-93.32,2.02,0.96,1.76,1
8886,-0.15,7.48,-1.73,21.59,-19.94,-107.91,-0.77,0.72,0.49,1
9134,-1.51,8.8,-5.99,23.21,-22.2,-107.34,-1.95,-0.73,0.5,1
9379,0.28,9.0,-5.35,27.93,-21.89,-86.09,-2.15,-0.16,-0.22,1
9627,-4.61,17.69,-15.64,33.57,-22.99,-94.61,1.17,-0.66,1.67,1
9873,3.27,1.68,-5.27,28.06,-21.41,-108.9,-1.17,1.11,-0.64,1
10121,-5.09,6.53,-6.86,28.62,-22.83,-108.08,-0.76,-0.23,0.56,1
10489,1.64,12.43,2.61,34.04,-19.13,-79.76,-0.84,-0.54,-0.34,1
10872,4.2,1.05,-7.0,29.19,-22.2,-103.27,-1.19,1.76,-0.74,1
11120,-2.72,9.86,-9.35,30.34,-22.99,-99.68,-0.05,1.44,-0.29,1
11366,-0.23,10.79,-5.7,34.65,-16.16,-79.2,-1.33,-0.03,-0.67,1
11614,-12.04,11.65,-14.19,40.03,-16.94,-84.46,0.37,-1.89,1.7,1
11862,5.86,3.78,-6.38,27.62,-22.87,-84.67,-1.21,2.15,-0.36,1
12107,11.33,0.49,2.96,23.44,-25.24,-82.34,-2.83,-0.26,-0.44,1
12353,-0.2,12.26,-2.58,27.23,-10.64,-65.38,-1.44,-0.74,-0.28,1
12791,-1.6,8.14,-8.49,21.16,-22.43,-75.87,1.87,1.9,0.51,1
13127,8.99,3.98,-9.73,9.56,-22.57,-74.41,-1.3,-1.63,-0.93,1
13373,-0.97,8.89,-3.74,9.66,-8.61,-60.17,-1.78,1.3,-0.59,1
13619,0.38,15.49,2.39,10.65,-13.18,-61.03,3.18,0.09,-1.15,1
13869,1.18,2.52,-7.92,-7.02,-23.3,-83.19,0.94,2.83,-0.14,1
14118,-0.32,5.27,7.41,-10.06,-22.54,-87.45,1.55,5.0,-0.14,1
14364,0.66,8.99,-3.8,-7.88,-16.28,-71.73,-2.1,-0.03,-0.46,1
